"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
2934,"NCT04538586","Influence of the COVId-19 Pandemic on STRESS, and Screening Procedures (COVISTRESS Screening)",,"Recruiting","No Results Available","COVID-19 Screening",,"Stress measures|Screening|Sociodemographic characteristics","University Hospital, Clermont-Ferrand|Faculty of Medicine and Paramedical Professions, Clermont-Ferrand, France","All","16 Years and older   (Child, Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","2020 COVISTRESS Screening","May 1, 2020","December 1, 2020","December 1, 2025","September 4, 2020",,"September 4, 2020","Univeristy Hospital, Clermont-Ferrand, Clermont-Ferrand, France",,"https://ClinicalTrials.gov/show/NCT04538586"
2935,"NCT04603924","Study of Niclosamide in Moderate and Severe Hospitalized Coronavirus-19 (COVID-19) Patients",,"Recruiting","No Results Available","COVID-19","Drug: Niclosamide|Drug: Placebo","Safety and Tolerability of ANA001 as measured by the incidence of treatment emergent adverse events (TEAE's) (Part 1 and Part 2)|Efficacy as measured by median time to hospital discharge (Part 2)|Efficacy as measured by median time to hospital discharge (Part 1)|Pharmacokinetics (PK) of ANA001 as measured by plasma concentrations (Part 1)|Efficacy of ANA001 as measured by mean change from baseline in the National Early Warning Score (NEWS 2) (Part 2)|Efficacy of ANA001 as measured by mean number of days on rescue therapy (Part 2)","NeuroBo Pharmaceuticals Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","436","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ANA001-001","October 7, 2020","June 2021","June 2022","October 27, 2020",,"March 25, 2021","Helen Keller Hospital, Sheffield, Alabama, United States|Baptist Health Research Institute, Jacksonville, Florida, United States|AdventHealth Tampa, Tampa, Florida, United States|Therapeutic Concepts, PA, Houston, Texas, United States|Memorial Hermann Memorial City Medical Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04603924"
2936,"NCT04476667","Online Delivery of Psychotherapy, Tailored to Patients' Suffering From Mental Health Problems Due to COVID-19",,"Recruiting","No Results Available","Mental Health Issue|Covid19|Anxiety Disorders|Depression","Behavioral: e-Psychotherapy","Change in Stress|Change in Resilience|Change in Quality of Life Assessment|Change in Symptom Severity - 1|Change in Symptom Severity - 2|Change in Symptom Severity - 3|Qualitative Information: Healthcare Providers|Qualitative Information: Personal, social, and cultural factors","Queen's University|Online PsychoTherapy Clinic","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PSIY-683-20","June 15, 2020","May 2021","May 2021","July 20, 2020",,"February 18, 2021","Hotel Dieu Hospital, Kingston, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04476667"
2937,"NCT04560530","The Role of CT Chest Scan in the Pre-anesthetic Assessment of Suspected or Confirmed COVID -19 Patients",,"Completed","No Results Available","Covid19","Radiation: Non-enhanced CT scan of the chest","pneumonia severity.|Aorta diameter|Pulmonary artery diameter|Pulmonary artery diameter TO Aorta diameter ratio|Description of the lesions found in the CT scan","Tanta University","All","18 Years and older   (Adult, Older Adult)",,"76","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","chest CT scan in COVID-19","March 1, 2020","July 30, 2020","September 1, 2020","September 23, 2020",,"September 23, 2020","Security Forces Hospital, Riyadh, Saudi Arabia",,"https://ClinicalTrials.gov/show/NCT04560530"
2938,"NCT04334382","Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19","HyAzOUT","Recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine|Drug: Azithromycin","Hospitalization within 14 days of enrollment|Duration of COVID-19-attributable symptoms|Hospital-free days at 28 days|Ventilator-free days at 28 days|ICU-free days at 28 days","Intermountain Health Care, Inc.|University of Utah|Utah Department of Health","All","45 Years and older   (Adult, Older Adult)","Phase 3","1550","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1051360","April 2, 2020","December 31, 2020","December 31, 2021","April 6, 2020",,"April 9, 2020","Intermountain Medical Center, Murray, Utah, United States|University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04334382"
2939,"NCT04371952","DYNAMIC Study (DoxycYcliNe AMbulatoIre COVID-19)","DYNAMIC","Not yet recruiting","No Results Available","COVID19","Drug: Doxycycline|Drug: Placebo","Percentage of Patients with Clinical Respiratory Aggravation|Percentage of patients hospitalized|Percentage of patients requiring ventilatory assistance|Positive SARS-CoV-2 PCR Test|Duration of symptoms|Duration of hospitalization|Hospitalization intensive care or reanimation|Duration of mechanical ventilatory assistance|Percentage of deaths related to SARS-CoV-2|AE / SAE in both arms","Nantes University Hospital","All","46 Years and older   (Adult, Older Adult)","Phase 3","330","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","RC20_0191","June 1, 2020","December 1, 2020","December 1, 2020","May 1, 2020",,"May 18, 2020","CHU Avicenne - APHP, Bobigny, France|CHU Bordeaux, Bordeaux, France|CHU Caen, Caen, France|CHU Dijon, Dijon, France|CHU Grenoble, Grenoble, France|CHU Nantes, Nantes, France",,"https://ClinicalTrials.gov/show/NCT04371952"
2940,"NCT04438967","Brain Health in the Time of COVID-19",,"Recruiting","No Results Available","Brain Health",,"Test the hypothesis that COVID-19 infection will lead to increased risk of neurological impairment|Determine cognitive and behavioral functional patterns that predict susceptibility to neurological impairment due to COVID-19","Miro Health|Johns Hopkins University|University of Pittsburgh","All","18 Years and older   (Adult, Older Adult)",,"10000","Other","Observational","Observational Model: Cohort|Time Perspective: Other","MIRO_001_2020","June 16, 2020","December 31, 2021","December 31, 2021","June 19, 2020",,"January 6, 2021","Miro Health, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04438967"
2941,"NCT04613050","Effect of Respiratory Versus Aerobic Training on Respiratory and Immunity Efficiency in Recovered COVID- 19 Patients",,"Recruiting","No Results Available","Covid 19 Infection","Other: Respiratory Training|Other: Aerobic training","Complete blood picture|Arterial blood gases|6-minute walk Distance|Breath-hold test|Oxygen saturation|Borg Dyspnea Scale score|Maximum oxygen consumption","Cairo University","All","35 Years to 45 Years   (Adult)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","MAHA2020","July 2, 2020","December 24, 2021","February 20, 2022","November 3, 2020",,"January 27, 2021","Police hospital-Nasr city, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT04613050"
2942,"NCT04390477","Study to Evaluate the Effect of a Probiotic in COVID-19",,"Recruiting","No Results Available","COVID-19|Coronavirus Infection","Dietary Supplement: Probiotic","Cases with discharge to ICU.|Patients with home discharge.|Mortality.|Treatment safety assessed by number of adverse events.|New cases of SARS-Cov-2 infection among healthcare personnel caring for the patients.|Patients with negative PCR result for SARS-CoV-2 infection.","Bioithas SL","All","18 Years and older   (Adult, Older Adult)","Not Applicable","40","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COVID.PROB","May 4, 2020","July 2021","September 2021","May 15, 2020",,"January 27, 2021","Hospital Universitario del Vinalopó, Elche, Alicante, Spain|Hospital Universitario de Torrevieja, Torrevieja, Alicante, Spain",,"https://ClinicalTrials.gov/show/NCT04390477"
2943,"NCT04355351","Study of Immune Response During SARS-CoV-2 Infection - (COVID-19)","CovImmune","Recruiting","No Results Available","New Coronavirus Disease (COVID-19), Infection With SARS-CoV-2","Other: blood sampling|Other: additional blood tubes","Level of IFN-gamma after a non-specific stimulation of T lymphocytes","Centre Hospitalier Universitaire de Nice","All","18 Years and older   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","20-PP-05","May 5, 2020","October 22, 2020","October 22, 2020","April 21, 2020",,"June 12, 2020","Antibes Hospital, Antibes, France|Cannes Hospital, Cannes, France|Nice Hospital, Nice, France",,"https://ClinicalTrials.gov/show/NCT04355351"
2944,"NCT04474301","Well-Being and Health-Related Quality of Life in Melanoma Patients During COVID-19 Pandemic",,"Recruiting","No Results Available","COVID-19 Infection|Melanoma","Other: Survey Administration","Experiences during the COVID-19 pandemic|COVID-19-specific psychological distress|COVID-19-specific health|COVID-19-specific financial and social disruptions|COVID-19-specific perceived benefits and social support|COVID-19-specific health related quality of life (HRQoL)|Effects of COVID-19 experiences on COVID-19-specific psychological distress and HRQoL|Prior lifestyle data","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","All","Child, Adult, Older Adult",,"1152","Other|NIH","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","2020-0470|NCI-2020-04587|P30CA016672","June 11, 2020","July 1, 2021","July 1, 2021","July 16, 2020",,"July 16, 2020","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04474301"
2945,"NCT04414124","A Clinical Study to Assess the Natural History of COVID-19 and Effects of KB109 and Supportive Self-care in Outpatients With Mild-to-moderate COVID-19",,"Active, not recruiting","No Results Available","Mild-to-moderate COVID-19","Other: KB109 + Self Supportive Care (SSC)|Other: Self Supportive Care (SSC) Alone","Number of patients experiencing study-product related treatment-emergent adverse events (TEAEs)|Change from baseline to end of intake in overall composite COVID-19 symptom score|Time to resolution of fever|Proportion of patients with decreased oxygen saturation|Effect of COVID-19 symptoms on physical activities|Proportion of patients requiring hospitalization|Time to resolution of overall 13 COVID-19 related symptoms.|Time to resolution of overall 8 cardinal COVID-19 related symptoms.","Kaleido Biosciences","All","18 Years and older   (Adult, Older Adult)","Not Applicable","350","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","K031-120","August 2, 2020","February 2021","February 2021","June 4, 2020",,"January 22, 2021","Healthstar Research, Hot Springs, Arkansas, United States|Axon Clinical Research, Riverside, California, United States|Medical Center for Clinical Research, San Diego, California, United States|Vista Health Research, Miami, Florida, United States|Bio-Medical Research, Miami, Florida, United States|Mount Vernon Clinical Research, Atlanta, Georgia, United States|Centex Studies, Inc. - Lake Charles, Lake Charles, Louisiana, United States|University of Massachusetts Medical School, Worcester, Massachusetts, United States|Wake Research - Clinical Research Center of Nevada, LLC, Las Vegas, Nevada, United States|Carolina Institute For Clinical Research, Fayetteville, North Carolina, United States|M3 Wake Research, Inc, Raleigh, North Carolina, United States|TruCare Internal Medicine and Infectious Diseases, DuBois, Pennsylvania, United States|ClinSearch LLC, Chattanooga, Tennessee, United States|Global Medical Research, DeSoto, Texas, United States|Centex Studies, Houston, Texas, United States|Infectious Diseases Associates of Central Virginia, Lynchburg, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT04414124"
2946,"NCT04530435","PEP Flute-selfcare in COVID-19","PEP-CoV","Active, not recruiting","No Results Available","COVID-19|SARS-CoV-2","Device: PEP flute","Self-reported CAT-score (COPD Assessment Test)|Hospital admissions|Use of antibiotics","Bispebjerg Hospital|Hvidovre University Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","0211-00023B","October 6, 2020","April 30, 2021","April 30, 2021","August 28, 2020",,"March 8, 2021","Research Unit for Dietary Studies at the Parker Institute, Bispebjerg and Frederiksberg Hospitals, Frederiksberg, Denmark",,"https://ClinicalTrials.gov/show/NCT04530435"
2947,"NCT04466800","Functional and Respiratory Rehabilitation and Nutritional Care of COVID-19 Patients (RECOVER-19)","RECOVER-19","Recruiting","No Results Available","COVID","Other: Intervention group_rehabilitation program","Impact of a multidisciplinary and personalized rehabilitation program on COVID patients's quality of life|Impact of a multidisciplinary and personalized rehabilitation program in terms of Physical capacities|Impact of a multidisciplinary and personalized rehabilitation program in terms of Respiratory capacities|Impact of a multidisciplinary and personalized rehabilitation program in terms of Functional capacities|Impact of a multidisciplinary and personalized rehabilitation program in terms of Malnutrition prevalence rate using GLIM malnutrition diagnostic criteria|Impact of a multidisciplinary and personalized rehabilitation program in terms of mortality|Impact of a multidisciplinary and personalized rehabilitation program in terms of Quality of life|Impact of a multidisciplinary and personalized rehabilitation program in terms of Anxiety and depression|Impact of a multidisciplinary and personalized rehabilitation program in terms of Healthcare consumption|Impact of a multidisciplinary and personalized rehabilitation program in terms of Medico-economic evaluation|Patient's opinion concerning the rehabilitation program","Rennes University Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","35RC20_9875_RECOVER-19","July 30, 2020","August 30, 2021","July 30, 2022","July 10, 2020",,"April 1, 2021","Hôtel Dieu Paris, Paris, France|Centre Hospitalier de Cornouaille, Quimper, France|CHU Rennes, Rennes, France|Centre Hospitalier de Saint-Brieuc, Saint-Brieuc, France|Centre Hospitalier Bretagne Atlantique, Vannes, France",,"https://ClinicalTrials.gov/show/NCT04466800"
2948,"NCT04568122","Rapid Turnaround, Home-based Saliva Testing for COVID-19",,"Recruiting","No Results Available","Covid19","Device: Saliva test kit","An indicator for discrepancy in interpretation of findings by participant versus by technician via photo (interrater reliability)|An indicator for whether the home saliva test is positive as determined by the patient (to assess sensitivity and specificity by the patient)|An indicator for ambiguous findings as measured by percent confidence (if < 80% confident) in interpretation of results by participant and by technician (ease of interpretation)|An indicator that the participant appropriately followed instructions for using the kit (≥ 80% confident) (ease of use)|An indicator for whether participant called technical support and by reason (e.g., processing was not possible due to broken part) (ease of use)|An indicator by participant that the sample was sufficient and reached the indicated line for sample integrity (sample integrity)|An indicator for whether the home saliva test is positive as determined by the technician (to assess sensitivity and specificity by the technician)","Stanford University","All","2 Years and older   (Child, Adult, Older Adult)","Not Applicable","3015","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","58629","November 20, 2020","April 2021","August 2021","September 29, 2020",,"March 22, 2021","Stanford University, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT04568122"
2949,"NCT04366986","International Registry of Coronavirus (COVID-19) Exposure in Pregnancy","IRCEP","Recruiting","No Results Available","Covid-19","Other: Tested for SARS-CoV-2 (regardless of the result)|Other: Clinical diagnosis of COVID-19 by a health care professional","Pregnancy outcomes|Birth outcomes","Pregistry|Harvard School of Public Health","Female","18 Years and older   (Adult, Older Adult)",,"25000","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","0001","June 23, 2020","April 30, 2024","April 30, 2024","April 29, 2020",,"June 25, 2020","Pregistry, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04366986"
2950,"NCT04415151","Tofacitinib for Treatment of Moderate COVID-19","I-TOMIC","Recruiting","No Results Available","COVID-19","Drug: Tofacitinib 10 mg|Drug: Placebo","Disease Severity|Clinical improvement|Time to recovery|Time to clinical improvement|Clinical status|Mortality|Mechanical Ventilatory Support|Mechanical Ventilatory Support Duration|Freedom from mechanical ventilation|Adverse events|Additional intervention|Viral titer","Yale University","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2000027848","July 29, 2020","March 31, 2021","March 31, 2021","June 4, 2020",,"February 24, 2021","Yale New Haven Health System, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04415151"
2951,"NCT04557046","Performance Evaluation of LumiraDx COVID-19 (SARS-CoV-2) Ag Test","ASPIRE","Recruiting","No Results Available","Covid19","Diagnostic Test: Nasal Swab|Diagnostic Test: Nasopharyngeal swab|Diagnostic Test: Throat swab|Diagnostic Test: Fingerstick|Diagnostic Test: Saliva specimen","Performance Evaluation","LumiraDx UK Limited","All","Child, Adult, Older Adult","Not Applicable","400","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","S-CLIN-PROT-00032","June 26, 2020","November 30, 2021","December 31, 2021","September 21, 2020",,"January 29, 2021","Children's Pediatric Associates of Altamonte Springs, Altamonte Springs, Florida, United States|Chappel Group, Kissimmee, Florida, United States|Good Samaritan Minute Clinic, Georgia Tech, Atlanta, Georgia, United States|Gvozden Pediatrics, Millersville, Maryland, United States|Ardmore Family Practice, Winston-Salem, North Carolina, United States|Physicians Quality Care of Jackson, Jackson, Tennessee, United States|Village Health Partners, Plano, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04557046"
2952,"NCT04414059","Protein Electrophoresis as a Tool for Complications Prediction in COVID-19 Hospitalised Patients","COVELEC","Not yet recruiting","No Results Available","SARS-CoV 2|Hospitalisation-Associated Infection",,"Complications onset|Risk value associated with each risk factor as identified at the end of the main study analysis|Predictive performance and risk associated with each individual protein fraction|Intra-patient kinetics evolution of the electrophoresis curves|Intra-patient kinetics evolution of biological risk factors|Inter-expert reproducibility analysis of electrophoretic inflammatory profiles centrally reviewed|Contribution of urinary electrophoresis inflammation profiles in the interpretation of serum electrophoresis curves|Exploratory biological objective: Definition of a more detailed electrophoretic inflammatory profile","Elsan","All","18 Years and older   (Adult, Older Adult)",,"155","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","COVELEC|2020-A01376-33","March 2021","June 2021","August 2021","June 4, 2020",,"October 26, 2020","Clinique de l'Estrée, Stains, France",,"https://ClinicalTrials.gov/show/NCT04414059"
2953,"NCT04435184","Crizanlizumab for Treating COVID-19 Vasculopathy","CRITICAL","Completed","No Results Available","COVID-19","Drug: Crizanlizumab|Other: 0.9% saline","Soluble P-selectin level|D-dimer level|VWF level|CRP level|Change in clinical status as assessed by the World Health Organization (WHO) Ordinal Scale for COVID-19 Trials|Time to hospital discharge|Safety of Crizanlizumab as assessed by adverse events","Johns Hopkins University|Novartis|Socar Research SA|Brigham and Women's Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","50","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00249874","July 9, 2020","November 28, 2020","January 4, 2021","June 17, 2020",,"January 19, 2021","Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04435184"
2954,"NCT04389840","Dociparstat for the Treatment of Severe COVID-19 in Adults at High Risk of Respiratory Failure",,"Recruiting","No Results Available","COVID-19|Acute Lung Injury|SARS-CoV-2","Drug: Dociparstat sodium|Drug: Placebo","Proportion of participants who are alive and free of invasive mechanical ventilation|All-cause mortality","Chimerix","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2|Phase 3","525","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CMX-DS-004","June 3, 2020","February 2021","June 2021","May 15, 2020",,"February 17, 2021","University of Alabama at Birmingham, Birmingham, Alabama, United States|Advanced Pulmonary Research Institute/Wellington Regional Medical Center, Loxahatchee Groves, Florida, United States|Augusta University, Augusta, Georgia, United States|Our Lady of the Lake, Baton Rouge, Louisiana, United States|Tulane University, New Orleans, Louisiana, United States|University Medical Center, New Orleans, Louisiana, United States|William Beaumont Hospital, Royal Oak, Michigan, United States|Wake Forest Baptist Health, Winston-Salem, North Carolina, United States|Texas Health Harris Methodist Hospital Fort Worth, Dallas, Texas, United States|Sentara Clinical Trials, Norfolk, Virginia, United States|Ascension St. Francis Hospital, Milwaukee, Wisconsin, United States|Ascension All Saints Hospital, Racine, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04389840"
2955,"NCT04410159","Povidone-Iodine Vs Essential Oil Vs Tap Water Gargling For COVID-19 Patients","GARGLES","Completed","Has Results","COVID-19","Drug: Povidone-Iodine|Drug: Essential oils|Other: Tap water","Number of Participants With Early Viral Clearance|Number of Participants With Negative RT-PCR Results|Number of Patients That Progress to More Severe Disease|Number of Patients With Abnormal Radiological Findings|Number of Patients With Abnormal Laboratory Findings","Universiti Sains Islam Malaysia|Universiti Kebangsaan Malaysia Medical Centre","All","18 Years and older   (Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","USIMalaysia","June 22, 2020","June 29, 2020","July 6, 2020","June 1, 2020","July 21, 2020","July 21, 2020","Universiti Kebangsaan Malaysia Medical Centre, Bandar Tun Razak, Wilayah Persekutuan Kuala Lumpur, Malaysia","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT04410159/Prot_SAP_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04410159"
2956,"NCT04252118","Mesenchymal Stem Cell Treatment for Pneumonia Patients Infected With COVID-19",,"Recruiting","No Results Available","COVID-19","Biological: MSCs","Size of lesion area by chest radiograph or CT|Side effects in the MSCs treatment group|Improvement of Clinical symptoms including duration of fever and respiratory|Time of nucleic acid turning negative|Rate of mortality within 28-days|CD4+ and CD8+ T celll count|Alanine aminotransferase|C-reactive protein|Creatine kinase","Beijing 302 Hospital|Innovative Precision Medicine Group (IPM), Hangzhou, China.|Huoshenshan Hospital|Tianjin Haihe Hospital|VCANBIO CELL & GENE ENGINEERING CORP.,LTD, China|Shenzhen Third People's Hospital|Fifth Affiliated Hospital, Sun Yat-Sen University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020003D","January 27, 2020","December 2020","December 2021","February 5, 2020",,"April 15, 2020","Beijing 302 Military Hospital of China, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04252118"
2957,"NCT04646044","A Placebo Controlled Trial of Bempegaldesleukin (BEMPEG; NKTR-214) With Standard of Care in Patients With Mild COVID-19",,"Recruiting","No Results Available","Covid-19|Coronavirus Disease 2019","Drug: Bempegaldesleukin|Drug: Standard of Care|Other: Placebo","AUC of BEMPEG/standard of care (SOC) (PK).|Cmax of BEMPEG /SOC (PK).|Tmax of BEMPEG /SOC (PK).|Incidence of adverse events.|Incidence of treatment emergent adverse events (TEAEs).|Incidence of serious adverse events (SAEs).|Incidence of dose limiting toxicities (DLT) for BEMPEG.|Presence and levels of anti-drug antibodies directed to BEMPEG.|Fold change from baseline in absolute lymphocyte count by Central Laboratory.|Percentage of patients who require supplemental oxygen.|Change from baseline on the daily collection World Health Organization (WHO) Clinical Progression Scale, an 11-point clinical status ordinal scale.","Nektar Therapeutics","All","18 Years and older   (Adult, Older Adult)","Phase 1","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","20-214-34","November 13, 2020","January 28, 2021","March 27, 2021","November 27, 2020",,"November 27, 2020","Investigator Site, Hialeah, Florida, United States|Investigator site, Mesquite, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04646044"
2958,"NCT04696562","The Effect of Deep Breathing Exercise on Dyspnea, Anxiety and Quality of Life in Patients Treated for COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Behavioral: Deep Breathing Exercise with Triflo","Oxygen saturation (%)|Respiratory rate per minute|Dyspnea level|Anxiety|Quality of life level","Ankara University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","44","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","OCengiz","January 1, 2021","March 31, 2021","March 31, 2021","January 6, 2021",,"January 6, 2021",,,"https://ClinicalTrials.gov/show/NCT04696562"
2959,"NCT04377997","Safety and Efficacy of Therapeutic Anticoagulation on Clinical Outcomes in Hospitalized Patients With COVID-19",,"Not yet recruiting","No Results Available","Cardiovascular Diseases|COVID-19","Drug: Enoxaparin","Number of patients with the composite efficacy endpoint of death, cardiac arrest, symptomatic deep venous thrombosis, pulmonary embolism, arterial thromboembolism, myocardial infarction, or hemodynamic shock.|Number of patients with a major bleeding event according to the International Society on Thrombosis and Haemostasis (ISTH) definition.","Massachusetts General Hospital|Beth Israel Deaconess Medical Center|Dartmouth-Hitchcock Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020P001136","May 15, 2020","January 1, 2021","January 1, 2022","May 7, 2020",,"May 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04377997"
2960,"NCT04652518","LYT-100 in Post-acute COVID-19 Respiratory Disease",,"Recruiting","No Results Available","Covid19","Drug: LYT-100|Other: Placebo","Change in distance walked on the six-minute walk test (6MWT)|Change in Modified Borg Dyspnoea Scale (mBDS) score|Quality of Life assessment as collected using the SF-36","PureTech|Clinipace Worldwide|Novotech (Australia) Pty Limited","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","168","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","LYT-100-2020-02","December 11, 2020","August 2021","December 2021","December 3, 2020",,"February 26, 2021","University of Southern California - Keck School of Medicine, Los Angeles, California, United States|Central Florida Pulmonary Group, Orlando, Florida, United States|Southeastern Research Center, Winston-Salem, North Carolina, United States|Site Coordinator, Austin, Texas, United States|Institutul de Pneumoftiziologie ""Marius Nasta"" (""Marius Nasta"" Pneumoftiziology Institute), Bucharest, Romania|National Institute for Infectious Diseases ""Prof. Dr. Matei Balş"" (Arensia Eploratory Medicine), Bucharest, Romania|Spitalul Clinic De Pneumoftiziologie ""Leon Daniello"" Cluj-Napoca, Cluj-Napoca, Romania|Spitalul Clinic de Boli Infectioase si Pneumoftiziologie Dr. Victor Babes Craiova, Craiova, Romania|Spitalul Clinic de Boli Infectioase si Pneumoftiziologie Dr. Victor Babes - Timisoara, Timişoara, Romania",,"https://ClinicalTrials.gov/show/NCT04652518"
2961,"NCT04356508","COVID-19: A Pilot Study of Adaptive Immunity and Anti-PD1",,"Not yet recruiting","No Results Available","COVID-19|SARS-CoV-2|2019-nCoV|Pneumonia, Viral","Drug: Nivolumab","Viral clearance kinetics|Treatment-related adverse events of nivolumab (Intervention arm only)|Lymphocyte kinetics|Cytokine kinetics|Length of inpatient stay due to COVID-19","Dr Gerry Gin Wai Kwok|The University of Hong Kong|Queen Mary Hospital, Hong Kong","All","18 Years and older   (Adult, Older Adult)","Phase 2","15","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UW20213","April 14, 2020","June 30, 2020","August 31, 2021","April 22, 2020",,"April 22, 2020",,,"https://ClinicalTrials.gov/show/NCT04356508"
